team_name,season_id,team_id_home_pre,wl_home_pre,fgm_home_pre,fga_home_pre,fg_pct_home_pre,fg3m_home_pre,fg3a_home_pre,fg3_pct_home_pre,ftm_home_pre,fta_home_pre,ft_pct_home_pre,oreb_home_pre,dreb_home_pre,reb_home_pre,ast_home_pre,stl_home_pre,blk_home_pre,tov_home_pre,pf_home_pre,pts_home_pre,plus_minus_home_pre,game_id_home_pre,team_id_away_pre,wl_away_pre,fgm_away_pre,fga_away_pre,fg_pct_away_pre,fg3m_away_pre,fg3a_away_pre,fg3_pct_away_pre,ftm_away_pre,fta_away_pre,ft_pct_away_pre,oreb_away_pre,dreb_away_pre,reb_away_pre,ast_away_pre,stl_away_pre,blk_away_pre,tov_away_pre,pf_away_pre,pts_away_pre,plus_minus_away_pre,game_id_away_pre,team_name,season_id,team_id_home_post,wl_home_post,fgm_home_post,fga_home_post,fg_pct_home_post,fg3m_home_post,fg3a_home_post,fg3_pct_home_post,ftm_home_post,fta_home_post,ft_pct_home_post,oreb_home_post,dreb_home_post,reb_home_post,ast_home_post,stl_home_post,blk_home_post,tov_home_post,pf_home_post,pts_home_post,plus_minus_home_post,game_id_home_post,team_id_away_post,wl_away_post,fgm_away_post,fga_away_post,fg_pct_away_post,fg3m_away_post,fg3a_away_post,fg3_pct_away_post,ftm_away_post,fta_away_post,ft_pct_away_post,oreb_away_post,dreb_away_post,reb_away_post,ast_away_post,stl_away_post,blk_away_post,tov_away_post,pf_away_post,pts_away_post,plus_minus_away_post,game_id_away_post
Atlanta Hawks,21989,1610612737.0,0.6086956521739131,41.95652173913044,85.0,0.4930869565217391,1.3043478260869565,4.608695652173913,0.2615,25.17391304347826,32.69565217391305,0.7676086956521739,16.043478260869566,28.565217391304348,44.608695652173914,22.82608695652174,9.73913043478261,4.869565217391305,17.0,23.043478260869566,110.3913043478261,3.5217391304347827,28900323.52173913,1610612737.0,0.3103448275862069,39.62068965517241,86.03448275862068,0.4611034482758621,1.1379310344827587,4.793103448275862,0.22075862068965518,23.310344827586206,29.96551724137931,0.7706551724137931,15.517241379310345,24.517241379310345,40.03448275862069,19.93103448275862,8.206896551724139,3.9310344827586206,14.448275862068966,23.03448275862069,103.6896551724138,-4.931034482758621,28900391.344827585,Atlanta Hawks,21989,1610612737.0,0.6111111111111112,42.44444444444444,84.38888888888889,0.5027222222222222,1.7222222222222223,4.944444444444445,0.33522222222222225,24.555555555555557,32.44444444444444,0.7589999999999999,16.0,26.22222222222222,42.22222222222222,23.333333333333332,8.833333333333334,3.5555555555555554,14.61111111111111,20.166666666666668,111.16666666666667,5.166666666666667,28900870.055555556,1610612737.0,0.5833333333333334,44.916666666666664,87.5,0.5128333333333334,2.5,6.416666666666667,0.3670833333333334,20.5,28.25,0.7274166666666666,13.833333333333334,28.916666666666668,42.75,24.75,8.0,5.25,13.833333333333334,25.833333333333332,112.83333333333333,4.416666666666667,28900949.25
Atlanta Hawks,21990,1610612737.0,0.76,42.32,87.16,0.48607999999999996,3.56,9.72,0.34224000000000004,24.96,31.6,0.78348,14.88,31.0,45.88,26.28,9.6,5.56,15.08,21.4,113.16,6.0,29000332.28,1610612737.0,0.3333333333333333,39.51851851851852,87.48148148148148,0.4534074074074074,3.2222222222222223,10.481481481481481,0.29744444444444446,23.85185185185185,29.62962962962963,0.8108888888888889,14.0,28.444444444444443,42.44444444444444,20.925925925925927,8.703703703703704,4.0,15.25925925925926,21.59259259259259,106.11111111111111,-3.8518518518518516,29000363.962962963,Atlanta Hawks,21990,1610612737.0,0.625,41.5625,91.25,0.45525,3.0625,9.4375,0.312,26.1875,32.75,0.7995625,17.8125,31.3125,49.125,22.75,9.0,3.6875,14.125,21.0625,112.375,3.9375,29000877.5625,1610612737.0,0.35714285714285715,39.92857142857143,87.28571428571429,0.45949999999999996,3.2857142857142856,11.357142857142858,0.2938571428571429,24.785714285714285,30.714285714285715,0.8018571428571428,14.285714285714286,26.857142857142858,41.142857142857146,19.857142857142858,7.857142857142857,4.857142857142857,13.857142857142858,22.357142857142858,107.92857142857143,-3.2857142857142856,29000920.42857143
Atlanta Hawks,21991,1610612737.0,0.6,43.2,92.96,0.4644,2.2,7.56,0.25976,19.4,26.08,0.74988,17.28,32.68,49.96,29.16,9.56,4.48,14.0,22.44,108.0,3.04,29100344.56,1610612737.0,0.4074074074074074,42.77777777777778,92.66666666666667,0.46299999999999997,2.8518518518518516,8.481481481481481,0.2892962962962963,19.85185185185185,27.0,0.7321481481481482,16.88888888888889,29.88888888888889,46.77777777777778,23.88888888888889,9.0,4.222222222222222,15.407407407407407,21.88888888888889,108.25925925925925,-3.185185185185185,29100358.85185185,Atlanta Hawks,21991,1610612737.0,0.5,43.625,89.3125,0.4889375,2.0625,8.1875,0.2396875,16.875,23.625,0.7254375,14.0,30.5,44.5,27.0,10.4375,2.625,15.1875,20.75,106.1875,0.25,29100878.3125,1610612737.0,0.2857142857142857,39.92857142857143,87.21428571428571,0.4604285714285714,3.2142857142857144,8.714285714285714,0.3654285714285714,16.142857142857142,22.5,0.7147857142857142,12.571428571428571,27.571428571428573,40.142857142857146,22.642857142857142,10.285714285714286,3.7142857142857144,15.285714285714286,20.5,99.21428571428571,-8.357142857142858,29100941.214285713
Atlanta Hawks,21992,1610612737.0,0.5217391304347826,41.69565217391305,88.47826086956522,0.4713913043478261,3.9565217391304346,10.956521739130435,0.3588695652173913,20.652173913043477,29.08695652173913,0.7112608695652175,16.0,28.08695652173913,44.08695652173913,25.608695652173914,10.0,4.0,16.47826086956522,23.73913043478261,108.0,-1.0434782608695652,29200300.086956523,1610612737.0,0.47619047619047616,38.904761904761905,87.38095238095238,0.44747619047619047,4.238095238095238,12.142857142857142,0.3607142857142857,20.333333333333332,26.80952380952381,0.7520952380952381,15.857142857142858,27.095238095238095,42.95238095238095,23.761904761904763,10.952380952380953,3.142857142857143,15.952380952380953,23.19047619047619,102.38095238095238,-4.476190476190476,29200282.61904762,Atlanta Hawks,21992,1610612737.0,0.7222222222222222,44.05555555555556,89.55555555555556,0.49438888888888893,5.444444444444445,14.944444444444445,0.37172222222222223,20.11111111111111,27.0,0.7336111111111111,15.222222222222221,31.27777777777778,46.5,29.055555555555557,10.0,3.1666666666666665,14.222222222222221,19.88888888888889,113.66666666666667,7.777777777777778,29200873.722222224,1610612737.0,0.4,41.15,89.5,0.458,5.2,15.0,0.33355,19.2,25.15,0.7614,15.75,28.3,44.05,23.65,8.3,3.15,16.15,20.8,106.7,-4.65,29200809.1
Atlanta Hawks,21993,1610612737.0,0.8846153846153846,43.5,89.34615384615384,0.4879230769230769,4.115384615384615,11.346153846153847,0.3648461538461539,20.576923076923077,26.576923076923077,0.7796153846153846,16.384615384615383,29.807692307692307,46.19230769230769,27.115384615384617,12.461538461538462,5.269230769230769,13.692307692307692,17.923076923076923,111.6923076923077,13.076923076923077,29300356.423076924,1610612737.0,0.5,35.69230769230769,83.84615384615384,0.42646153846153845,3.8846153846153846,12.038461538461538,0.3205,19.5,25.384615384615383,0.7690384615384616,15.23076923076923,27.73076923076923,42.96153846153846,21.923076923076923,10.26923076923077,5.576923076923077,15.26923076923077,21.03846153846154,94.76923076923077,-1.3076923076923077,29300367.076923076,Atlanta Hawks,21993,1610612737.0,0.8666666666666667,42.13333333333333,87.0,0.48513333333333336,2.0,6.866666666666666,0.3358,16.6,22.866666666666667,0.7306666666666667,14.933333333333334,30.666666666666668,45.6,27.466666666666665,11.666666666666666,6.133333333333334,14.2,20.6,102.86666666666666,8.533333333333333,29300895.6,1610612737.0,0.5333333333333333,37.06666666666667,82.06666666666666,0.45193333333333335,2.0,7.933333333333334,0.2518666666666667,17.666666666666668,25.066666666666666,0.7045333333333333,13.6,31.133333333333333,44.733333333333334,24.6,9.933333333333334,5.0,15.933333333333334,20.2,93.8,-0.13333333333333333,29300910.933333334
Atlanta Hawks,21994,1610612737.0,0.5,37.0,82.71428571428571,0.44789285714285715,6.357142857142857,17.892857142857142,0.3541785714285714,17.142857142857142,24.035714285714285,0.7189285714285714,14.5,27.642857142857142,42.142857142857146,22.392857142857142,8.928571428571429,5.25,14.357142857142858,22.178571428571427,97.5,1.3214285714285714,29400349.714285713,1610612737.0,0.44,34.88,78.76,0.44304000000000004,5.8,18.08,0.31928,17.28,23.04,0.74308,12.44,26.96,39.4,19.76,8.56,5.16,15.24,22.6,92.84,-0.44,29400332.64,Atlanta Hawks,21994,1610612737.0,0.7692307692307693,38.23076923076923,83.46153846153847,0.45799999999999996,7.923076923076923,22.307692307692307,0.35507692307692307,18.0,25.0,0.7298461538461538,13.846153846153847,28.076923076923077,41.92307692307692,21.923076923076923,9.76923076923077,4.076923076923077,13.076923076923077,19.53846153846154,102.38461538461539,7.846153846153846,29400884.384615384,1610612737.0,0.4375,36.3125,81.875,0.4429375,7.0625,21.0625,0.3398125,16.5,23.375,0.7345625,12.9375,28.6875,41.625,21.9375,9.1875,5.1875,14.25,22.75,96.1875,-1.4375,29400927.0625
Atlanta Hawks,21995,1610612737.0,0.6071428571428571,37.535714285714285,83.42857142857143,0.4511428571428571,6.714285714285714,18.821428571428573,0.35782142857142857,17.714285714285715,23.928571428571427,0.7375357142857143,14.642857142857142,25.25,39.892857142857146,19.321428571428573,10.214285714285714,3.607142857142857,13.785714285714286,22.035714285714285,99.5,1.6071428571428572,29500372.85714286,1610612737.0,0.4583333333333333,35.916666666666664,81.33333333333333,0.442,7.041666666666667,19.75,0.3524583333333333,18.708333333333332,24.666666666666668,0.7547083333333333,14.083333333333334,26.958333333333332,41.041666666666664,20.125,8.666666666666666,4.0,14.916666666666666,22.375,97.58333333333333,-0.9583333333333334,29500375.25,Atlanta Hawks,21995,1610612737.0,0.6923076923076923,36.46153846153846,79.3076923076923,0.46,7.230769230769231,21.23076923076923,0.3433846153846154,17.692307692307693,22.53846153846154,0.7766153846153846,14.692307692307692,26.076923076923077,40.76923076923077,19.384615384615383,9.76923076923077,4.0,14.153846153846153,18.384615384615383,97.84615384615384,6.076923076923077,29500990.46153846,1610612737.0,0.5294117647058824,35.1764705882353,79.17647058823529,0.4441764705882353,6.764705882352941,18.705882352941178,0.3624705882352941,20.470588235294116,26.88235294117647,0.7605882352941177,14.294117647058824,26.764705882352942,41.05882352941177,19.58823529411765,8.823529411764707,4.117647058823529,15.0,18.88235294117647,97.58823529411765,-0.058823529411764705,29500959.70588235
Atlanta Hawks,21996,1610612737.0,0.9130434782608695,35.34782608695652,78.43478260869566,0.4497391304347826,7.826086956521739,22.347826086956523,0.3481739130434783,18.782608695652176,25.08695652173913,0.7497826086956522,13.434782608695652,31.73913043478261,45.17391304347826,18.47826086956522,8.043478260869565,5.608695652173913,15.08695652173913,19.47826086956522,97.30434782608695,10.91304347826087,29600402.04347826,1610612737.0,0.4642857142857143,33.285714285714285,76.53571428571429,0.4367857142857143,8.107142857142858,21.892857142857142,0.363,16.321428571428573,21.142857142857142,0.7825,11.785714285714286,26.964285714285715,38.75,17.892857142857142,7.678571428571429,5.285714285714286,14.392857142857142,19.0,91.0,0.35714285714285715,29600358.75,Atlanta Hawks,21996,1610612737.0,0.8333333333333334,35.166666666666664,74.55555555555556,0.4718333333333333,8.555555555555555,22.5,0.3773888888888889,20.22222222222222,26.666666666666668,0.7459444444444444,11.5,27.666666666666668,39.166666666666664,20.055555555555557,9.055555555555555,4.611111111111111,14.555555555555555,19.61111111111111,99.11111111111111,8.722222222222221,29600944.055555556,1610612737.0,0.5384615384615384,33.38461538461539,78.3076923076923,0.4256923076923077,7.538461538461538,23.23076923076923,0.32807692307692304,18.307692307692307,23.53846153846154,0.7723076923076923,13.461538461538462,28.23076923076923,41.69230769230769,20.76923076923077,10.615384615384615,5.153846153846154,16.615384615384617,19.846153846153847,92.61538461538461,2.1538461538461537,29600992.53846154
Atlanta Hawks,21997,1610612737.0,0.64,34.32,77.44,0.44388,3.0,10.72,0.25836,21.6,28.96,0.7441200000000001,14.16,30.72,44.88,18.04,6.88,6.36,15.08,20.56,93.24,3.12,29700364.12,1610612737.0,0.5172413793103449,35.0,77.44827586206897,0.4529310344827586,3.6551724137931036,11.310344827586206,0.31227586206896557,21.344827586206897,27.17241379310345,0.7808620689655172,12.517241379310345,28.379310344827587,40.89655172413793,19.24137931034483,7.827586206896552,6.241379310344827,14.586206896551724,20.896551724137932,95.0,0.6551724137931034,29700395.689655174,Atlanta Hawks,21997,1610612737.0,0.8125,36.875,77.875,0.4739375,5.5,14.375,0.37093750000000003,21.0,29.0,0.734625,14.1875,31.25,45.4375,21.125,9.8125,5.75,14.5625,19.375,100.25,10.0625,29701017.25,1610612737.0,0.5,35.333333333333336,77.0,0.46075,5.666666666666667,15.833333333333334,0.36433333333333334,21.166666666666668,28.166666666666668,0.7526666666666667,13.5,27.166666666666668,40.666666666666664,18.5,8.083333333333334,4.916666666666667,15.083333333333334,20.083333333333332,97.5,2.5,29700962.666666668
Atlanta Hawks,21998,1610612737.0,0.5,32.5,75.0,0.43325,3.0,10.0,0.26937500000000003,22.75,32.875,0.670625,12.5,30.375,42.875,17.125,6.25,4.625,15.875,19.25,90.75,0.625,29800124.125,1610612737.0,0.5454545454545454,31.272727272727273,78.27272727272727,0.39872727272727276,3.090909090909091,10.727272727272727,0.29963636363636365,18.454545454545453,25.09090909090909,0.7401818181818182,14.818181818181818,29.272727272727273,44.09090909090909,16.363636363636363,8.0,5.454545454545454,14.363636363636363,20.818181818181817,84.0909090909091,3.909090909090909,29800136.181818184,Atlanta Hawks,21998,1610612737.0,0.7058823529411765,31.0,75.47058823529412,0.41005882352941175,5.117647058823529,16.0,0.31729411764705884,21.823529411764707,29.58823529411765,0.7462352941176471,14.588235294117647,29.470588235294116,44.05882352941177,14.941176470588236,6.647058823529412,6.0,15.764705882352942,20.88235294117647,88.94117647058823,3.411764705882353,29800480.05882353,1610612737.0,0.6428571428571429,29.142857142857142,72.57142857142857,0.39992857142857147,3.7142857142857144,12.428571428571429,0.2797142857142857,20.285714285714285,27.142857142857142,0.7505714285714286,11.785714285714286,30.928571428571427,42.714285714285715,15.071428571428571,6.785714285714286,4.357142857142857,13.642857142857142,17.785714285714285,82.28571428571429,2.7857142857142856,29800498.64285714
