,,Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014,14,15.0,Washington Wizards,11,242.3,34.5,79.7,0.432,5.6,16.8,0.335,28.8,62.9,0.458,15.8,22.7,0.696,11.7,33.2,44.9,19.5,7.5,5.6,12.8,22.3,90.4
2014,15,16.0,Chicago Bulls,5,245.0,33.2,78.6,0.422,6.4,19.2,0.333,26.8,59.4,0.451,17.2,22.8,0.754,12.2,29.6,41.8,20.2,5.0,4.4,13.2,22.0,90.0
2014,16,,League Average,11,242.5,36.4,80.0,0.455,8.0,22.3,0.358,28.3,57.6,0.492,18.8,24.7,0.763,10.2,30.9,41.1,19.8,7.1,4.4,13.3,22.0,99.5
2015,0,1.0,Dallas Mavericks,5,240.0,41.6,92.0,0.452,7.6,24.4,0.311,34.0,67.6,0.503,19.2,25.2,0.762,13.6,33.8,47.4,21.2,7.0,4.6,14.2,27.2,110.0
2015,1,2.0,Houston Rockets,17,240.0,37.4,83.4,0.448,9.5,27.5,0.344,27.9,55.8,0.499,24.0,36.7,0.654,10.9,34.8,45.7,21.9,8.4,5.5,15.5,23.4,108.2
2015,2,3.0,Los Angeles Clippers,14,241.8,39.5,84.8,0.466,8.4,25.4,0.329,31.1,59.4,0.525,20.4,30.6,0.667,9.6,35.0,44.6,22.5,8.6,5.9,13.1,24.8,107.8
2015,3,4.0,San Antonio Spurs,7,243.6,38.3,85.3,0.449,9.6,26.1,0.366,28.7,59.1,0.486,17.3,25.4,0.68,11.7,34.7,46.4,24.1,6.1,4.7,12.1,24.9,103.4
2015,4,5.0,Golden State Warriors,21,243.6,38.2,84.2,0.453,11.4,30.5,0.374,26.8,53.7,0.498,15.5,22.1,0.699,11.6,34.0,45.6,24.5,8.0,5.8,14.6,22.4,103.3
2015,5,6.0,Washington Wizards,10,242.5,37.3,84.5,0.441,9.4,23.3,0.403,27.9,61.2,0.456,17.1,23.7,0.722,11.6,35.6,47.2,23.1,7.1,5.3,14.5,20.0,101.1
2015,6,7.0,New Orleans Pelicans,4,246.3,38.0,84.3,0.451,6.8,21.3,0.318,31.3,63.0,0.496,18.0,22.3,0.809,10.8,31.3,42.0,23.3,7.5,5.8,13.5,23.8,100.8
2015,7,8.0,Cleveland Cavaliers,20,243.8,34.7,82.7,0.42,9.8,28.7,0.34,25.0,54.0,0.462,19.9,26.9,0.738,12.3,34.9,47.1,18.0,6.3,6.4,13.0,20.9,99.0
2015,8,9.0,Atlanta Hawks,16,243.1,36.9,85.6,0.431,9.1,28.6,0.317,27.8,56.9,0.488,15.2,19.4,0.781,9.8,33.9,43.7,23.8,8.5,4.9,12.7,19.7,98.0
2015,9,10.0,Brooklyn Nets,6,244.2,36.2,83.2,0.435,8.5,24.0,0.354,27.7,59.2,0.468,15.5,20.8,0.744,9.5,35.0,44.5,21.7,7.5,3.3,14.3,19.0,96.3
2015,10,11.0,Toronto Raptors,4,246.3,36.8,88.3,0.416,7.5,25.0,0.3,29.3,63.3,0.462,15.3,21.3,0.718,8.8,29.8,38.5,19.5,7.5,2.3,12.0,25.0,96.3
2015,11,12.0,Chicago Bulls,12,244.2,35.1,83.8,0.419,9.2,24.6,0.373,25.9,59.2,0.438,16.7,21.5,0.775,11.7,33.8,45.4,22.2,7.2,6.6,14.0,18.8,96.0
