season_id,POR,WAS,SEA,DET,CHI,BUF,PHL,NOJ,LAL,GOS,CLE,MIL,NYK,ATL,KCK,PHX,HOU,BOS,IND,DEN,SAN,NYN,NJN,SDC,UTH,DAL,LAC,SAC,MIA,CHH,ORL,MIN,TOR,VAN,GSW,PHI,UTA,SAS,MEM,NOH,CHA,NOK,OKC,BKN,NOP
21975,1495.7061654389568,1556.2084285246053,1498.4591764348004,1457.7998250484584,1476.7613737041959,1516.4175596907899,1492.2892902953163,1509.8913172418072,1474.2395447348551,1579.3665276570025,1547.227337826101,1493.4669992027523,1492.0576016534264,1426.3382710659473,1477.5431105587932,1478.3567602136236,1498.0582467243012,1529.812463984267,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21976,1566.5734738569206,1538.1832026161353,1498.4802689757053,1508.4812441747354,1469.4703887515236,1442.9464344998596,1564.3848245286865,1459.1083458435476,1562.1383360659793,1552.479863776792,1541.0571617132289,1424.9846732507476,1494.8653628966588,1396.0260260299585,1507.9098184137238,1502.1840365514558,1522.779510940335,1487.259511629973,1478.9550313491843,1588.4876751530064,1514.9506001775285,1400.7942088043144,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21977,1658.3547901813868,1537.9805335580381,1517.9591520740316,1483.3113375270668,1532.814447984362,1423.3923799553982,1627.4484887247677,1454.18804390759,1550.2411313561413,1524.9409234846864,1513.6401045965433,1498.1916769894474,1508.0112823589038,1478.363703175363,1464.8586435840496,1554.0147341035063,1459.507318742048,1458.5759190348515,1448.2531214992227,1546.3175900775927,1563.0661336359408,1345.1490397754935,1395.7945036735707,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21978,1522.912666668405,1606.3356671424108,1588.8504050860201,1447.8908800087945,1427.9247921625667,1405.7343004967843,1570.78042204734,1414.051065903814,1596.286390129399,1523.603554447887,1470.587310078602,1520.3374980285944,1464.667452813908,1541.595013662242,1547.9194334124343,1580.3994889626824,1491.9145659114695,1432.354922475487,1459.5600381968952,1532.1848542512926,1604.4869751515898,1385.1117798316202,1449.4241788670274,1477.1175942627358,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21979,1535.337862651523,1480.7570155680146,1623.2303612425928,1378.2329822339198,1434.6709490061398,1430.5507253725882,1604.7093144669902,1401.0372251122035,1620.801567474686,1448.5133372344706,1466.818854372705,1566.3443946448333,1469.284443811735,1576.8007848952832,1583.5562260778047,1595.9694262726239,1517.2280652681252,1597.4878300639457,1488.9446547401908,1466.1980420267707,1520.5614395681716,1415.0838348737152,1461.4767154438964,1480.5785021834815,1412.348882893591,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21980,1505.1071187795105,1505.7269620773102,1516.9077818723722,1327.2121493293523,1519.1568974812533,1449.1630440294412,1679.2540546259456,1427.0279188341526,1635.43071551749,1483.7518725957084,1453.650452678512,1655.5320890973949,1540.7818812958378,1489.0960226097673,1508.1396092022567,1638.2066552892554,1495.3411442061172,1679.937133774315,1538.155852408299,1454.5481759464178,1567.6178939457432,1437.5628761552864,1395.6524156482321,1456.2988339542283,1403.0229730276824,1326.3600537431203,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21981,1530.9563143440669,1531.0809955366872,1564.3537541686626,1481.0198002222573,1499.2681347852779,1463.1222830220809,1658.1060932561397,1446.5209391256144,1616.3178416340372,1521.675086370914,1329.0559543779564,1648.1488769409652,1498.1153389739331,1485.3036922925278,1438.0754055987804,1572.2037491829249,1515.3997292490849,1663.2791913643164,1501.6783502352257,1515.2102901460416,1563.0417865028421,1454.4221571164649,1470.1344393360826,1394.0484982321607,1373.4456396941052,1364.9975918846017,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21982,1540.2751427339865,1514.525961556755,1570.591512091241,1502.3569808100492,1429.895013630969,1473.5917122665605,1720.2498581423922,1461.140704344211,1651.4753599244768,1448.9884963584443,1315.3798112210816,1618.067345961057,1509.9968776303751,1520.9673973629697,1494.6509767567543,1595.9510719713599,1334.2727581199915,1663.9303417341284,1383.1253200449105,1509.3366439904019,1559.266082941494,1467.0666178373485,1580.1906358267847,1367.2179574165493,1398.0469489104348,1476.178920610588,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21983,1575.9069558758003,1489.0712839474254,1516.133773522121,1559.8644471050507,1420.7456948885676,1481.4437841999204,1607.6657205416607,1472.1055282581583,1596.8670544102354,1437.6708433306733,1409.9648093726203,1564.0687900972632,1600.5253775927831,1484.6043846558264,1490.6034217834485,1529.9984303542717,1401.0624963213274,1647.0382544486154,1386.2716375948787,1493.7431319552938,1510.3084181370511,1476.5499633780114,1545.2021283738961,1410.157552003541,1506.1505631550228,1498.8278923430219,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21984,1534.1961114341154,1501.355445964043,1452.5926770436674,1572.2889344733435,1463.8364612892767,1487.3328381499402,1635.4024312056615,1480.3291461936187,1629.6409321961048,1372.4113943844388,1421.0904523301688,1649.1758916092253,1438.8401508255572,1479.6087802309182,1440.5704517476406,1500.1129279121467,1509.21649804936,1677.0033295249132,1388.7887549238105,1555.9694480017815,1501.1371579238266,1483.6624725335087,1527.3022991184266,1453.4816023002154,1496.2739308752277,1530.8193041737554,1434.4744288201714,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21985,1534.2387008463925,1496.721297613688,1446.3638416206027,1543.0867076565398,1425.7885601091502,1491.7496286124551,1582.7359348686068,1486.496859645214,1684.9882375073225,1399.7459176765885,1486.1607683763498,1675.8669848821323,1384.4206898335779,1523.415504858719,1466.8733965312433,1445.0711599185925,1558.8423567462369,1694.6409328638335,1415.4683608752089,1550.2613526429739,1493.0889406761764,1488.9968544001315,1505.5911617017566,1466.3612017251617,1499.8403021649415,1524.9299608910167,1390.546676118561,1459.143398562975,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21986,1566.728666358447,1491.3855211460993,1495.5296725006285,1593.4318722801315,1497.3240090779623,1495.0622214593413,1542.6023834091345,1491.1226447339104,1674.9407241834374,1469.0191733039846,1418.6185106195715,1610.7732894229766,1388.5568514675506,1627.9092874354556,1476.4050473984325,1437.9602972761022,1518.835574898402,1693.6927856214543,1487.0363786478486,1478.0154395451127,1399.2234447658038,1492.9976408000987,1426.3863735349828,1476.0209012938712,1519.7796550984358,1608.6499080659098,1314.2871120984837,1433.7813810010418,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21987,1571.3971336071622,1485.0796767720024,1514.0042999341472,1611.8701271099012,1572.540202153295,1497.546666094506,1494.2683026455513,1494.5919835504328,1666.3330884769712,1372.639270050706,1501.826922885865,1564.427446751338,1453.9215494060659,1621.4415943552374,1483.5537855488244,1425.4548221254233,1548.785313950473,1635.32248099751,1500.8321110792613,1551.6067385407857,1417.9249802898053,1495.998230600074,1358.4627984021542,1483.2656759704034,1541.5513190755946,1590.3708283674027,1284.3395026001217,1390.2007242424427,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
