team_name,season_id,mvp_number
Capital Bullets,22019,0
Capital Bullets,22020,0
Capital Bullets,22021,0
Capital Bullets,22022,0
Charlotte Bobcats,21989,0
Charlotte Bobcats,21990,0
Charlotte Bobcats,21991,0
Charlotte Bobcats,21992,0
Charlotte Bobcats,21993,0
Charlotte Bobcats,21994,0
Charlotte Bobcats,21995,0
Charlotte Bobcats,21996,0
Charlotte Bobcats,21997,0
Charlotte Bobcats,21998,0
Charlotte Bobcats,21999,0
Charlotte Bobcats,22000,0
Charlotte Bobcats,22001,0
Charlotte Bobcats,22002,0
Charlotte Bobcats,22003,0
Charlotte Bobcats,22004,0
Charlotte Bobcats,22005,0
Charlotte Bobcats,22006,0
Charlotte Bobcats,22007,0
Charlotte Bobcats,22008,0
Charlotte Bobcats,22009,1
Charlotte Bobcats,22010,0
Charlotte Bobcats,22011,0
Charlotte Bobcats,22012,0
Charlotte Bobcats,22013,0
Charlotte Bobcats,22014,0
Charlotte Bobcats,22015,0
Charlotte Bobcats,22016,0
Charlotte Bobcats,22018,0
Charlotte Bobcats,22019,0
Charlotte Bobcats,22020,0
Charlotte Bobcats,22021,0
Charlotte Bobcats,22022,0
Charlotte Hornets,21989,0
Charlotte Hornets,21990,0
Charlotte Hornets,21991,0
Charlotte Hornets,21992,0
Charlotte Hornets,21993,0
Charlotte Hornets,21994,0
Charlotte Hornets,21995,0
Charlotte Hornets,21996,1
Charlotte Hornets,21997,1
Charlotte Hornets,21998,1
Charlotte Hornets,21999,1
Charlotte Hornets,22000,1
Charlotte Hornets,22001,0
Charlotte Hornets,22002,0
Charlotte Hornets,22003,0
Charlotte Hornets,22004,0
Charlotte Hornets,22005,0
Charlotte Hornets,22006,0
Charlotte Hornets,22007,0
Charlotte Hornets,22008,0
Charlotte Hornets,22009,0
Charlotte Hornets,22010,0
Charlotte Hornets,22011,0
Charlotte Hornets,22012,0
Charlotte Hornets,22013,0
Charlotte Hornets,22014,0
Charlotte Hornets,22015,0
Charlotte Hornets,22016,0
Charlotte Hornets,22018,0
Charlotte Hornets,22019,0
Charlotte Hornets,22020,0
Charlotte Hornets,22021,0
Charlotte Hornets,22022,0
Chicago Bulls,21989,1
Chicago Bulls,21990,2
Chicago Bulls,21991,2
Chicago Bulls,21992,3
Chicago Bulls,21993,2
Chicago Bulls,21994,1
Chicago Bulls,21995,3
Chicago Bulls,21996,2
Chicago Bulls,21997,2
Chicago Bulls,21998,0
Chicago Bulls,21999,0
Chicago Bulls,22000,0
Chicago Bulls,22001,0
Chicago Bulls,22002,0
Chicago Bulls,22003,0
