team_name,season_id,win_loss_pre,field_goal_percentage_pre,three_point_percentage_pre,free_throw_percentage_pre,rebounds_pre,blocks_pre,turnovers_pre,personal_fouls_pre,win_loss_post,field_goal_percentage_post,three_point_percentage_post,free_throw_percentage_post,rebounds_post,steals_post,blocks_post,turnovers_post,personal_fouls_post,winner,mvp_number,all_defensive,playoff_field_goal_percentage,playoff_three_point_percentage,playoff_two_point_percentage,playoff_free_throw_percentage,playoff_rebounds,playoff_steals,playoff_blocks,playoff_turnovers,playoff_personal_fouls,playoff_efficiency,pre_trade_efficiency,post_trade_efficiency,elo_score,all_star_number
Atlanta Hawks,21990,0.5384615384615384,0.4691153846153846,0.31898076923076923,0.7977115384615385,44.09615384615385,4.75,15.173076923076923,21.5,0.5,0.4572333333333333,0.3035333333333333,0.8006333333333333,45.4,8.466666666666667,4.233333333333333,14.0,21.666666666666668,0,0,0,0.4,0.25,0.421,0.831,44.2,6.6,2.8,11.6,23.4,100.60000000000004,123.15384615384617,120.93333333333334,1538.5638211122375,1
Atlanta Hawks,21992,0.5,0.45997727272727273,0.35975,0.73075,43.54545454545455,3.590909090909091,16.227272727272727,23.477272727272727,0.5526315789473685,0.4752368421052632,0.3516315789473684,0.7482368421052632,45.21052631578947,9.105263157894736,3.1578947368421053,15.236842105263158,20.36842105263158,0,0,0,0.428,0.278,0.453,0.709,38.7,8.0,3.7,15.3,23.3,89.50000000000001,116.31818181818184,125.0526315789474,1484.5265885952017,1
Atlanta Hawks,21993,0.6923076923076923,0.45719230769230773,0.3426730769230769,0.7743269230769231,44.57692307692308,5.423076923076923,14.48076923076923,19.48076923076923,0.7,0.4685333333333333,0.29383333333333334,0.7175999999999999,45.166666666666664,10.8,5.566666666666666,15.066666666666666,20.4,0,0,1,0.436,0.316,0.451,0.739,40.5,8.2,5.3,13.9,24.9,102.90000000000002,121.69230769230774,119.06666666666666,1615.1317745156243,1
Atlanta Hawks,21994,0.4716981132075472,0.44560377358490566,0.3377169811320755,0.7303207547169811,40.84905660377358,5.2075471698113205,14.773584905660377,22.37735849056604,0.5862068965517241,0.4496896551724138,0.3466551724137931,0.732448275862069,41.758620689655174,9.448275862068966,4.689655172413793,13.724137931034482,21.310344827586206,0,0,1,0.392,0.328,0.419,0.731,39.0,8.3,2.7,13.0,28.3,86.7,105.2830188679245,110.72413793103443,1533.0071900530745,2
Atlanta Hawks,21995,0.5384615384615384,0.44692307692307687,0.35534615384615387,0.7454615384615385,40.42307692307692,3.7884615384615383,14.307692307692308,22.192307692307693,0.6,0.45103333333333334,0.35419999999999996,0.7675333333333333,40.93333333333333,9.233333333333333,4.066666666666666,14.633333333333333,18.666666666666668,0,0,1,0.444,0.369,0.472,0.734,35.9,8.4,5.3,14.0,22.2,99.50000000000003,105.9423076923077,107.56666666666663,1544.0897159285846,0
Atlanta Hawks,21996,0.6666666666666666,0.44262745098039213,0.3563137254901961,0.7677450980392158,41.64705882352941,5.431372549019608,14.705882352941176,19.215686274509803,0.7096774193548387,0.45248387096774195,0.35670967741935483,0.757,40.225806451612904,9.709677419354838,4.838709677419355,15.419354838709678,19.70967741935484,0,0,2,0.436,0.315,0.491,0.778,40.0,4.5,4.3,16.1,19.9,91.4,103.54901960784316,108.45161290322581,1607.8511511763195,0
Atlanta Hawks,21997,0.5740740740740741,0.4487407407407407,0.2873148148148148,0.7638518518518518,42.74074074074074,6.296296296296297,14.814814814814815,20.74074074074074,0.6785714285714286,0.4682857142857143,0.36810714285714285,0.7423571428571429,43.392857142857146,9.071428571428571,5.392857142857143,14.785714285714286,19.678571428571427,0,0,2,0.449,0.375,0.473,0.685,40.0,7.8,4.8,12.8,23.5,97.10000000000002,105.18518518518519,113.28571428571432,1592.5740258390983,2
Atlanta Hawks,21998,0.5263157894736842,0.41326315789473683,0.28689473684210526,0.7108947368421052,43.578947368421055,5.105263157894737,15.0,20.157894736842106,0.6774193548387096,0.40548387096774197,0.3003225806451613,0.7481935483870967,43.45161290322581,6.709677419354839,5.258064516129032,14.806451612903226,19.483870967741936,0,0,2,0.383,0.312,0.402,0.769,38.9,8.1,4.0,13.3,19.4,80.0,91.31578947368419,90.19354838709675,1588.1287845972722,2
Atlanta Hawks,22007,0.4230769230769231,0.44313461538461535,0.31884615384615383,0.7703076923076922,41.94230769230769,5.846153846153846,15.211538461538462,21.46153846153846,0.5,0.4745666666666667,0.3861,0.7720666666666667,42.7,6.633333333333334,4.8,14.4,18.566666666666666,0,0,0,0.411,0.322,0.43,0.782,38.3,4.3,5.7,15.9,20.1,88.09999999999998,105.94230769230766,118.4,1446.8782101811182,1
Atlanta Hawks,22008,0.5925925925925926,0.45585185185185184,0.37131481481481476,0.736074074074074,40.22222222222222,4.666666666666667,12.925925925925926,20.09259259259259,0.5357142857142857,0.4648928571428571,0.3552142857142857,0.7428571428571429,39.642857142857146,6.857142857142857,4.428571428571429,12.5,18.75,0,0,0,0.409,0.347,0.428,0.744,34.9,6.9,3.4,12.1,21.4,84.40000000000003,109.29629629629629,106.10714285714286,1520.7020453797604,1
