team_name,season_id,all_star_number
Cleveland Cavaliers,22005,2
Cleveland Cavaliers,22006,1
Cleveland Cavaliers,22007,1
Cleveland Cavaliers,22008,1
Cleveland Cavaliers,22009,2
Cleveland Cavaliers,22010,1
Cleveland Cavaliers,22011,0
Cleveland Cavaliers,22012,0
Cleveland Cavaliers,22013,1
Cleveland Cavaliers,22014,1
Cleveland Cavaliers,22015,2
Cleveland Cavaliers,22016,1
Cleveland Cavaliers,22018,1
Cleveland Cavaliers,22019,0
Cleveland Cavaliers,22020,0
Cleveland Cavaliers,22021,0
Cleveland Cavaliers,22022,2
Dallas Mavericks,21989,0
Dallas Mavericks,21990,1
Dallas Mavericks,21991,0
Dallas Mavericks,21992,0
Dallas Mavericks,21993,0
Dallas Mavericks,21994,0
Dallas Mavericks,21995,0
Dallas Mavericks,21996,1
Dallas Mavericks,21997,1
Dallas Mavericks,21998,0
Dallas Mavericks,21999,0
Dallas Mavericks,22000,1
Dallas Mavericks,22001,1
Dallas Mavericks,22002,2
Dallas Mavericks,22003,2
Dallas Mavericks,22004,1
Dallas Mavericks,22005,1
Dallas Mavericks,22006,1
Dallas Mavericks,22007,2
Dallas Mavericks,22008,1
Dallas Mavericks,22009,1
Dallas Mavericks,22010,2
Dallas Mavericks,22011,1
Dallas Mavericks,22012,1
Dallas Mavericks,22013,0
Dallas Mavericks,22014,1
Dallas Mavericks,22015,1
Dallas Mavericks,22016,0
Dallas Mavericks,22018,0
Dallas Mavericks,22019,1
Dallas Mavericks,22020,1
Dallas Mavericks,22021,1
Dallas Mavericks,22022,1
Denver Nuggets,21989,1
Denver Nuggets,21990,1
Denver Nuggets,21991,0
Denver Nuggets,21992,1
Denver Nuggets,21993,0
Denver Nuggets,21994,0
Denver Nuggets,21995,1
Denver Nuggets,21996,1
Denver Nuggets,21997,0
Denver Nuggets,21998,0
Denver Nuggets,21999,0
Denver Nuggets,22000,0
Denver Nuggets,22001,1
Denver Nuggets,22002,0
Denver Nuggets,22003,0
Denver Nuggets,22004,0
Denver Nuggets,22005,0
Denver Nuggets,22006,0
Denver Nuggets,22007,1
Denver Nuggets,22008,2
Denver Nuggets,22009,1
Denver Nuggets,22010,2
Denver Nuggets,22011,1
Denver Nuggets,22012,0
Denver Nuggets,22013,0
Denver Nuggets,22014,0
Denver Nuggets,22015,0
Denver Nuggets,22016,0
Denver Nuggets,22018,0
Denver Nuggets,22019,1
Denver Nuggets,22020,1
Denver Nuggets,22021,1
Denver Nuggets,22022,1
Detroit Pistons,21989,1
Detroit Pistons,21990,3
Detroit Pistons,21991,1
Detroit Pistons,21992,3
Detroit Pistons,21993,2
Detroit Pistons,21994,0
Detroit Pistons,21995,2
Detroit Pistons,21996,1
Detroit Pistons,21997,2
Detroit Pistons,21998,1
Detroit Pistons,21999,0
Detroit Pistons,22000,2
Detroit Pistons,22001,1
Detroit Pistons,22002,0
Detroit Pistons,22003,1
Detroit Pistons,22004,1
Detroit Pistons,22005,1
Detroit Pistons,22006,4
Detroit Pistons,22007,2
Detroit Pistons,22008,3
Detroit Pistons,22009,1
Detroit Pistons,22010,0
Detroit Pistons,22011,0
Detroit Pistons,22012,0
Detroit Pistons,22013,0
Detroit Pistons,22014,0
Detroit Pistons,22015,0
Detroit Pistons,22016,1
Detroit Pistons,22018,1
Detroit Pistons,22019,1
Detroit Pistons,22020,0
Detroit Pistons,22021,0
Detroit Pistons,22022,0
Golden State Warriors,21989,1
Golden State Warriors,21990,1
Golden State Warriors,21991,2
Golden State Warriors,21992,2
Golden State Warriors,21993,1
Golden State Warriors,21994,1
Golden State Warriors,21995,1
Golden State Warriors,21996,0
Golden State Warriors,21997,1
Golden State Warriors,21998,0
Golden State Warriors,21999,0
Golden State Warriors,22000,0
Golden State Warriors,22001,0
Golden State Warriors,22002,0
Golden State Warriors,22003,0
Golden State Warriors,22004,0
Golden State Warriors,22005,0
Golden State Warriors,22006,0
Golden State Warriors,22007,0
Golden State Warriors,22008,0
Golden State Warriors,22009,0
Golden State Warriors,22010,0
Golden State Warriors,22011,0
Golden State Warriors,22012,0
Golden State Warriors,22013,1
Golden State Warriors,22014,1
Golden State Warriors,22015,2
Golden State Warriors,22016,3
Golden State Warriors,22018,4
Golden State Warriors,22019,3
Golden State Warriors,22020,0
Golden State Warriors,22021,1
Golden State Warriors,22022,2
Houston Rockets,21989,1
Houston Rockets,21990,1
Houston Rockets,21991,0
Houston Rockets,21992,2
Houston Rockets,21993,1
Houston Rockets,21994,1
Houston Rockets,21995,1
Houston Rockets,21996,2
Houston Rockets,21997,1
Houston Rockets,21998,0
Houston Rockets,21999,0
Houston Rockets,22000,0
Houston Rockets,22001,0
Houston Rockets,22002,1
Houston Rockets,22003,2
Houston Rockets,22004,2
Houston Rockets,22005,2
Houston Rockets,22006,2
Houston Rockets,22007,1
Houston Rockets,22008,1
Houston Rockets,22009,1
Houston Rockets,22010,0
Houston Rockets,22011,0
Houston Rockets,22012,0
Houston Rockets,22013,1
Houston Rockets,22014,2
Houston Rockets,22015,1
Houston Rockets,22016,1
Houston Rockets,22018,1
Houston Rockets,22019,1
Houston Rockets,22020,2
Houston Rockets,22021,0
Houston Rockets,22022,0
Indiana Pacers,21989,0
Indiana Pacers,21990,1
Indiana Pacers,21991,0
Indiana Pacers,21992,0
Indiana Pacers,21993,1
Indiana Pacers,21994,0
Indiana Pacers,21995,1
Indiana Pacers,21996,1
Indiana Pacers,21997,0
Indiana Pacers,21998,2
Indiana Pacers,21999,0
Indiana Pacers,22000,2
Indiana Pacers,22001,0
Indiana Pacers,22002,1
Indiana Pacers,22003,2
Indiana Pacers,22004,2
Indiana Pacers,22005,1
Indiana Pacers,22006,0
Indiana Pacers,22007,1
Indiana Pacers,22008,0
Indiana Pacers,22009,1
Indiana Pacers,22010,0
Indiana Pacers,22011,0
Indiana Pacers,22012,1
Indiana Pacers,22013,1
Indiana Pacers,22014,2
Indiana Pacers,22015,0
Indiana Pacers,22016,1
Indiana Pacers,22018,1
Indiana Pacers,22019,0
Indiana Pacers,22020,1
Indiana Pacers,22021,1
Indiana Pacers,22022,0
LA Clippers,21989,0
LA Clippers,21990,0
LA Clippers,21991,0
LA Clippers,21992,0
LA Clippers,21993,1
LA Clippers,21994,1
LA Clippers,21995,0
LA Clippers,21996,0
LA Clippers,21997,0
LA Clippers,21998,0
LA Clippers,21999,0
